Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
mozillascience,leejoeyk,,,,10,,,,,No,3,TRUE,,Mentions,10/27/15 14:52,"At IEEE in Chicago + interested in #OpenScience? Keep an eye out for @leejoeyk , one of our new Fellows!https://t.co/fW4quel758 #IEEEvis",http://visap.uic.edu/2015/,uic.edu,openscience ieeevis,10/27/15 14:52,https://twitter.com/#!/mozillascience/status/659019810324520960,,,659019810324520960,
lloydsavickas,_plegg,,,,10,,,,,No,4,TRUE,,Mentions,10/27/15 14:57,RT @_plegg: Great keynote at #ieeevis - how can we engage the public with science using data visualization. https://t.co/BMIfaxa7Hp,,,ieeevis,10/27/15 14:57,https://twitter.com/#!/lloydsavickas/status/659021207426211840,,,659021207426211840,
ncsaatillinois,_plegg,,,,10,,,,,No,5,TRUE,,Mentions,10/27/15 15:31,RT @_plegg: Great keynote at #ieeevis - how can we engage the public with science using data visualization. https://t.co/BMIfaxa7Hp,,,ieeevis,10/27/15 15:31,https://twitter.com/#!/ncsaatillinois/status/659029743761772544,,,659029743761772544,
blaklaybul,christiansenjen,,,,10,,,,,No,6,TRUE,,Mentions,10/27/15 16:01,"RT @ChristiansenJen: Best paper award, #ieeevis SciVis track: Visualization-by-sketching (for creating multivariate time-varying dataviz) h…",https://vimeo.com/136211325,vimeo.com,ieeevis,10/27/15 16:01,https://twitter.com/#!/blaklaybul/status/659037244611776512,,,659037244611776512,
hanamanahansori,tanykim,,,,10,,,,,No,7,TRUE,,Mentions,10/27/15 16:02,RT @tanykim: My newest #datavis #infovis #beer project is up now! https://t.co/RZ6msuSWSJ Also a poster being presented at #ieeevis #vis2016,http://beer.tany.kim,tany.kim,datavis infovis beer ieeevis vis2016,10/27/15 16:02,https://twitter.com/#!/hanamanahansori/status/659037529140830208,,,659037529140830208,
riannone,tamaramunzner,,,,10,,,,,No,8,TRUE,,Mentions,10/27/15 16:12,RT @tamaramunzner: My slides for VGTC Technical Achievement Award acceptance talk at #ieeevis are now up at https://t.co/VJFfzRTBCL. I'm ho…,http://www.cs.ubc.ca/~tmm/talks.html#award15,ubc.ca,ieeevis,10/27/15 16:12,https://twitter.com/#!/riannone/status/659039988504358912,,,659039988504358912,
danbras,eagereyes,,,,10,,,,,No,9,TRUE,,Mentions,10/27/15 16:58,RT @eagereyes: First InfoVis paper that has a landing page this year! Probing Projections. https://t.co/6sTYabnmRq #IEEEVIS,http://julianstahnke.com/probing-projections/,julianstahnke.com,ieeevis,10/27/15 16:58,https://twitter.com/#!/danbras/status/659051623340220416,,,659051623340220416,
gregmci,uwdata,,,,10,,,,,No,10,TRUE,,Mentions,10/27/15 17:00,RT @jeffrey_heer: Congrats to @mjskay for an #ieeevis InfoVis honorable mention paper award! @uwdata https://t.co/BpE28lAmfb,http://idl.cs.washington.edu/papers/beyond-webers-law/,washington.edu,ieeevis,10/27/15 17:00,https://twitter.com/#!/gregmci/status/659052090581499904,,,659052090581499904,
gregmci,mjskay,,,,10,,,,,No,11,TRUE,,Mentions,10/27/15 17:00,RT @jeffrey_heer: Congrats to @mjskay for an #ieeevis InfoVis honorable mention paper award! @uwdata https://t.co/BpE28lAmfb,http://idl.cs.washington.edu/papers/beyond-webers-law/,washington.edu,ieeevis,10/27/15 17:00,https://twitter.com/#!/gregmci/status/659052090581499904,,,659052090581499904,
gregmci,jeffrey_heer,,,,10,,,,,No,12,TRUE,,Mentions,10/27/15 17:00,RT @jeffrey_heer: Congrats to @mjskay for an #ieeevis InfoVis honorable mention paper award! @uwdata https://t.co/BpE28lAmfb,http://idl.cs.washington.edu/papers/beyond-webers-law/,washington.edu,ieeevis,10/27/15 17:00,https://twitter.com/#!/gregmci/status/659052090581499904,,,659052090581499904,
