Group,Vertex,Vertex ID
G1,sgeoviz,164
G1,dollopcoffeeco,539
G1,gicentre,504
G1,monashuni,538
G1,duto_guerra,398
G1,hexenkoenig,158
G1,nsousanis,532
G1,mattbrehmer,270
G1,cybunk,124
G1,chrisnf,297
G1,adilyalcin,147
G1,flickr,510
G1,cplaisant,509
G1,jsndyks,84
G1,jwolondon,264
G1,city_cs,283
G1,miriahmeyer,60
G1,datastories,501
G1,jofu_,370
G1,uta_ente,161
G1,nelmqvist,256
G1,mikelupu,495
G1,misscarriemah,305
G1,kmlawson,491
G1,uofcgibson,160
G1,hcil_umd,363
G1,intuinno,480
G1,rlndscheepens,408
G1,infoviskid,478
G1,zirtech,477
G1,dr_pi,159
G1,veloclubdevis,474
G1,colorbrewer,73
G1,alangeovista,83
G1,jdfaviz,188
G1,myj,469
G1,romsson,351
G1,dufournaud,467
G1,alexander_lex,29
G1,henddkn,463
G1,marc_streit,462
G1,dr_floh,187
G1,miguelnacenta,416
G1,antmandan,77
G1,ieeevis,74
G1,chadstolper,423
G1,markjstock,422
G1,gruchallakenny,421
G1,frajabiyazdi,420
G1,sknudsendk,304
G1,al_ice_t,130
G1,v_isits,419
G1,jazzshowcase,418
G1,cagatay_turkay,417
G1,udemsar,415
G1,juliebee80,409
G1,pbesh,62
G1,charles_perin,267
G1,hosseinkhani_m,266
G1,myjyby,350
G1,jawalnut,38
G1,dowl4,400
G1,bederson,255
G1,austlit,395
G1,wef,385
G1,atlas_facts,383
G1,harvardcid,384
G1,manaswisaha,371
G1,aqhat,369
G1,umiacs,362
G1,mjmcguffin,361
G1,pkerpedjiev,355
G1,dadideo,349
G1,chrispudney,347
G1,radio26k,331
G1,standrewscs,307
G1,aquigley,306
G1,sachi_research,302
G1,a,303
G1,michaelmauderer,296
G1,charliew_city,281
G1,city,282
G1,noreenkamal,113
G1,pikkurii,265
G1,hcilpanda,254
G1,davemor,244
G1,nodesign,225
G1,carloscg86,220
G1,omniahnagoor,215
G1,tmrhyne,192
G1,joininria,186
G1,viche,183
G1,myliminality,174
G1,chillradio365,173
G1,ipodling,171
G1,sanegaytan,165
G1,dataknut,163
G1,jbrosz,156
G1,sizeof,129
G1,neekop,123
G1,no,114
G1,ritchiesking,100
G1,ijturton,91
G1,rpanczak,86
G1,thomasg77,85
G1,cartocalypse,82
G1,sujinjang11,76
G1,jtyll,72
G1,snowflakesinmay,61
G1,andriygazin,37
G2,kimay,26
G2,aedeegee,537
G2,mikeherman,536
G2,benjbach,376
G2,sharoz,33
G2,thefercook,531
G2,christiansenjen,9
G2,domesticstream,522
G2,fyloso,521
G2,ericcalexander,218
G2,thomas__christy,514
G2,jcrbrts,182
G2,stonybrooku,513
G2,heikeotten_,511
G2,maximolly,329
G2,bilalshussain,505
G2,lydiacbyrne,367
G2,yelperalp,391
G2,samquinan,494
G2,dalbersszafir,107
G2,paulpunkt,484
G2,ritsos_p,458
G2,kildall,483
G2,birdbassador,482
G2,michelle_borkin,190
G2,karthik_badam,481
G2,houdescott,479
G2,trebor,425
G2,bilalalsallakh,402
G2,eytanadar,344
G2,chrisheadleand,460
G2,martihearst,322
G2,uocscieng,137
G2,seecs,459
G2,benbendc,434
G2,gleichermike,219
G2,eagereyes_feed,435
G2,alark,310
G2,karlhigley,437
G2,stiivi,427
G2,nils_gehlenborg,70
G2,s_t_e_v_e_jones,330
G2,fturner,424
G2,smfrogers,414
G2,visualized,410
